year,rise in sea  level  in mm
1990,1.3
1991,1.31
1992,1.32
1993,1.33
1994,1.34
1995,1.35
1996,1.36
1997,1.37
1998,1.38
1999,1.39
2000,1.4
2001,1.41
2002,1.42
2003,1.43
2004,1.44
2005,1.45
2006,1.48
2007,1.51
2008,1.54
2009,1.57
2010,1.6
2011,1.63
2012,1.66
2013,1.69
2014,1.72
2015,1.75
2016,1.78
2017,1.81
2018,1.84
2019,1.87
2020,1.9
2021,1.93
2022,1.96
2023,1.99
2024,2.02
2025,2.05
2026,2.1
2027,2.15
2028,2.2
2029,2.25
2030,2.3
2031,2.35
2032,2.4
2033,2.45
2034,2.5
2035,2.55
2036,2.6
2037,2.65
2038,2.7
2039,2.75
2040,2.8
2041,2.87
2042,2.94
2043,3.01
2044,3.08
2045,3.15
2046,3.22
2047,3.29
2048,3.36
2049,3.43
2050,3.5
